Secteur,Nom,Ville,REP,Niveau
Auxonne Val de Saone,Ecole élémentaire Jean Moulin,AUXONNE,,Elementaire
Auxonne Val de Saone,Ecole élémentaire,FLAMMERANS,,Elementaire
Beaune,Ecole Primaire Blanche Fleurs,BEAUNE,,Primaire
Beaune,Ecole élémentaire Champagne St Nicolas,BEAUNE,,Elementaire
Beaune,Ecole Primaire,BLIGNY-SUR-OUCHE,,Primaire
Chatillon,Ecole élémentaire Francis Carco,CHATILLON-SUR-SEINE,,Elementaire
Chatillon,Ecole primaire,AIGNAY-LE-DUC,,Primaire
Chenove,Ecole élémentaire En St Jacques (REP+),CHENOVE,REP+,Elementaire
Chenove,Ecole élémentaire Bourdenière (REP+),CHENOVE,REP+,Elementaire
Chenove,Ecole élémentaire,ROUVRES-EN-PLAINE,,Elementaire
Dijon Centre,Ecole maternelle Mansart,DIJON,,Maternelle
Dijon Centre,Ecole maternelle Lamartine (REP),DIJON,REP,Maternelle
Dijon Centre,Ecole élémentaire Alain Millot,DIJON,,Elementaire
Dijon Est,Ecole élémentaire La Fleuriée,ST-APOLLINAIRE,,Elementaire
Dijon Est,Ecole maternelle Val Sully,ST-APOLLINAIRE,,Maternelle
Dijon Est,Ecole maternelle Henri Vincenot,VAROIS-ET-CHAIGNOT,,Maternelle
Dijon Nord,Ecole élémentaire,HAUTEVILLE-LES-DIJON,,Elementaire
Dijon Nord,Ecole élémentaire,IS-SUR-TILLE,,Elementaire
Dijon Nord,Ecole élémentaire,BELLENEUVE,,Elementaire
Dijon Nord,Ecole primaire,DAROIS,,Primaire
Dijon Ouest,Ecole maternelle Ouest,DIJON,,Maternelle
Dijon Ouest,Ecole élementaire Drapeau,DIJON,,Elementaire
Dijon Ouest,Ecole élémentaire Les Champs Perdrix (REP),DIJON,REP,Elementaire
Dijon Sud,Ecole élémentaire,BRAZEY-EN-PLAINE,,Elementaire
Dijon Sud,Ecole primaire,L'ETANG-VERGY,,Primaire
Dijon Sud,Ecole élémentaire Marie MAIGNOT,NUITS-SAINT-GEORGES,,Elementaire
Dijon Sud,Ecole élémentaire Henri CHALLAND,NUITS-SAINT-GEORGES,,Elementaire
SOMBERNON,Ecole primaire,BLAISY-BAS,,Primaire
SOMBERNON,Ecole élémentaire J.-C. Marin,SOMBERNON,,Elementaire
